Date, Open, High, Low, Close
02/23/17, 192.70, 193.12, 191.39, 191.63
02/22/17, 191.60, 192.01, 191.01, 191.23
02/21/17, 193.10, 193.17, 191.99, 192.05
02/17/17, 191.89, 192.37, 191.62, 192.12
02/16/17, 193.53, 193.95, 192.46, 192.76
02/15/17, 192.09, 193.40, 191.83, 193.26
02/14/17, 192.81, 193.08, 191.69, 192.28
02/13/17, 193.25, 193.30, 191.89, 192.06
02/10/17, 193.43, 194.38, 193.34, 194.04
02/09/17, 193.07, 193.50, 192.49, 192.76
02/08/17, 191.08, 192.64, 190.97, 192.26
02/07/17, 191.60, 191.94, 190.86, 191.37
02/06/17, 193.72, 193.72, 192.10, 192.16
02/03/17, 192.74, 193.87, 192.53, 193.20
02/02/17, 194.40, 194.77, 193.27, 193.52
02/01/17, 192.84, 194.35, 192.57, 194.34
01/31/17, 191.66, 192.84, 191.48, 192.04
01/30/17, 192.74, 192.79, 191.23, 191.26
01/27/17, 193.20, 193.75, 192.62, 193.43
01/26/17, 194.16, 195.28, 194.01, 194.26
01/25/17, 194.00, 195.28, 193.73, 193.98
01/24/17, 195.31, 195.84, 194.85, 194.95
01/23/17, 193.63, 194.77, 193.39, 194.44
01/20/17, 193.57, 194.69, 193.47, 194.02
01/19/17, 193.97, 194.07, 192.71, 192.96
01/18/17, 193.88, 194.55, 193.14, 193.36
01/17/17, 195.84, 196.36, 195.10, 195.14
01/13/17, 194.00, 195.01, 193.92, 194.54
01/12/17, 194.07, 195.18, 193.99, 194.97
01/11/17, 191.31, 192.95, 190.65, 192.29
01/10/17, 191.02, 191.84, 191.02, 191.14
01/09/17, 191.56, 191.81, 190.55, 190.60
01/06/17, 193.71, 194.11, 192.72, 193.54
01/05/17, 193.60, 194.19, 192.55, 193.71
01/04/17, 191.06, 193.03, 190.98, 192.98
01/03/17, 193.52, 193.78, 189.94, 190.15
12/30/16, 192.81, 193.32, 192.15, 192.51
12/29/16, 193.51, 193.56, 192.69, 192.90
12/28/16, 192.46, 193.35, 192.01, 193.03
12/27/16, 191.21, 193.09, 191.14, 192.75
12/23/16, 189.76, 191.05, 189.56, 190.53
12/22/16, 189.84, 191.16, 189.84, 190.31
12/21/16, 191.23, 191.97, 190.47, 190.78
12/20/16, 191.13, 191.34, 190.18, 190.57
12/19/16, 191.15, 191.46, 190.71, 191.22
12/16/16, 190.40, 191.66, 190.21, 191.43
12/15/16, 190.71, 191.25, 189.43, 190.48
12/14/16, 192.34, 193.39, 191.76, 191.79
12/13/16, 194.20, 194.22, 192.45, 193.46
12/12/16, 193.98, 194.72, 193.17, 193.35
12/09/16, 191.51, 192.26, 191.09, 191.98
12/08/16, 191.04, 191.45, 189.88, 191.41
12/07/16, 192.49, 192.49, 190.82, 190.85
12/06/16, 192.92, 193.07, 191.79, 192.53
12/05/16, 192.83, 194.91, 192.68, 193.48
12/02/16, 190.11, 191.73, 190.11, 191.69
12/01/16, 190.44, 192.63, 190.44, 191.41
11/30/16, 188.18, 190.00, 187.67, 189.31
11/29/16, 185.29, 185.64, 183.83, 183.98
11/28/16, 187.28, 188.51, 186.85, 187.76
11/25/16, 187.22, 187.22, 185.58, 185.73
11/23/16, 186.94, 188.07, 185.84, 187.69
11/22/16, 187.09, 187.95, 186.29, 187.56
11/21/16, 185.23, 187.54, 185.03, 187.31
11/18/16, 182.91, 183.27, 181.94, 183.14
11/17/16, 183.38, 183.64, 182.18, 182.44
11/16/16, 182.48, 183.53, 181.91, 182.34
11/15/16, 181.67, 183.24, 181.35, 183.08
11/14/16, 180.14, 180.73, 178.94, 180.25
11/11/16, 183.29, 183.86, 180.42, 180.74
11/10/16, 184.09, 184.26, 182.91, 183.33
11/09/16, 183.68, 185.08, 182.88, 183.99
11/08/16, 182.90, 184.22, 182.52, 183.55
11/07/16, 183.34, 183.70, 182.40, 183.50
11/04/16, 183.07, 183.30, 181.71, 182.50
11/03/16, 184.44, 184.84, 183.08, 183.38
11/02/16, 184.79, 185.12, 183.54, 184.29
11/01/16, 187.38, 187.69, 185.33, 185.81
10/31/16, 188.71, 188.71, 186.21, 186.28
10/28/16, 189.23, 190.70, 188.83, 189.21
10/27/16, 189.21, 190.32, 188.81, 190.05
10/26/16, 188.32, 189.61, 188.04, 188.72
